.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample12844_S59_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12844_S59_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12973_S188_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12973_S188_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12974_S189_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12974_S189_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12975_S190_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12975_S190_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13079_S41_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13079_S41_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13080_S42_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13080_S42_L001_R2_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13081_S43_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13081_S43_L001_R2_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13082_S44_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13082_S44_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13083_S45_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13083_S45_L001_R2_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13084_S46_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13084_S46_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13085_S47_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13085_S47_L001_R2_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13086_S48_L001_R1_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
sample13086_S48_L001_R2_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13087_S49_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	0.5
sample13087_S49_L001_R2_001	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13088_S50_L001_R1_001	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	0.5
sample13088_S50_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
sample13225_S41_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13225_S41_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13226_S42_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13226_S42_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13227_S43_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13227_S43_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13228_S44_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13228_S44_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13229_S45_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13229_S45_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13230_S46_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13230_S46_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13231_S47_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13231_S47_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13232_S48_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13232_S48_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13233_S49_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13233_S49_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13234_S50_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample13234_S50_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
